dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
Amazon,FastPRB,0.85,eps0.000125,5000,results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601252056,,10x5000x5,10,5000,1278.6,343.93057438965786,929.227374958992,8.586635148148112
Amazon,FastPRB,0.85,eps0.000125,5000,results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601260241,,10x5000x5,10,5000,1345.7,278.3508756946886,1304.900956106186,126.72877721623097
Amazon,FastPRB,0.85,eps0.000125,5000,results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601261331,,10x5000x5,10,5000,1074.3,360.8379276073955,1566.3272928237916,77.99531433466544
Amazon,FastPRB,0.85,eps0.000125,5000,results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601291452,,10x5000x5,10,5000,2096.8,953.1630290773977,3286.916536092758,58.60474194667634
Amazon,FastPRB,0.85,eps0.000125,5000,results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601291742,,10x5000x5,10,5000,2096.8,953.1630290773977,959.1424022674561,52.4602825240049
Amazon,PRB,0.85,powT50,5000,results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601252116,,10x5000x5,10,5000,1188.9,362.30855634389866,1019.5389380693435,19.28084216701914
Amazon,PRB,0.85,powT50,5000,results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601260241,,10x5000x5,10,5000,892.4,386.1243841043971,1386.9774978876114,69.64319278174526
Amazon,PRB,0.85,powT50,5000,results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601261332,,10x5000x5,10,5000,1014.8,368.094770405666,1614.4534171819687,75.4104626541488
Amazon,PRB,0.85,powT50,5000,results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601291452,,10x5000x5,10,5000,2096.5,952.9245772882553,1494.7454678058625,56.550015413508795
Collab,FastPRB,0.6,eps4.24e-06,5000,results/online_link_prediction/Collab_FastPRB_alpha0.6_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329,,10x5000x5,10,5000,1815.3,89.28611314196625,1145.01639316082,19.956515539056667
Collab,FastPRB,0.7,eps4.24e-06,5000,results/online_link_prediction/Collab_FastPRB_alpha0.7_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329,,10x5000x5,10,5000,1920.2,97.3281048824028,1161.740235042572,18.282485095233646
Collab,FastPRB,0.85,eps0.000424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262127,,10x5000x5,10,5000,2271.6,83.28289140033503,1287.5414593935013,8.753175047300338
Collab,FastPRB,0.85,eps0.000424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262321,,10x5000x5,10,5000,2271.6,83.28289140033503,706.1144265174865,68.4325758435729
Collab,FastPRB,0.85,eps0.000424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603301915,,10x5000x5,10,5000,2271.6,83.28289140033503,949.2133932828904,185.41553415460152
Collab,FastPRB,0.85,eps0.000424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_202601291248,,10x5000x5,10,5000,2271.6,83.28289140033503,2961.4683834314346,22.944348376122765
Collab,FastPRB,0.85,eps0.000424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_202601291520,,10x5000x5,10,5000,2271.6,83.28289140033503,3256.5351264476776,9.288512473998935
Collab,FastPRB,0.85,eps0.000424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_h100_ks40_202603262012,,10x5000x5,10,5000,2271.6,83.28289140033503,2927.317620396614,16.692923610351652
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262127,,10x5000x5,10,5000,2504.8,152.8821768552502,1280.7124314546586,10.86283076319601
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262321,,10x5000x5,10,5000,2504.8,152.8821768552502,733.1268140792847,31.665940072290198
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603271152,,10x5000x5,10,5000,2504.8,152.8821768552502,920.235588312149,174.7414264767088
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603271326,,10x5000x5,10,5000,2504.8,152.8821768552502,766.3673277616501,75.50564009342968
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603271327,,10x5000x5,10,5000,2504.8,152.8821768552502,848.4746525526047,123.09612582759317
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603301915,,10x5000x5,10,5000,2504.8,152.8821768552502,1066.3798363924027,50.557937136221796
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_lr10.01_lr20.004_202601291249,,10x5000x5,10,5000,2504.8,152.8821768552502,2956.62550265789,15.377628312289081
Collab,FastPRB,0.85,eps0.00424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_lr10.01_lr20.004_h100_ks40_202603262012,,10x5000x5,10,5000,2504.8,152.8821768552502,2924.209445095062,27.560521852082918
Collab,FastPRB,0.85,eps0.0424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262126,,10x5000x5,10,5000,4568.2,34.902148930975585,1390.000415611267,12.255118012502459
Collab,FastPRB,0.85,eps0.0424,5000,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262208,,10x5000x5,10,5000,4568.2,34.902148930975585,1144.3577137231828,7.264163031445211
