target_id,rank,table,dataset,method,alpha_hint,param_hint,paper_regret_mean,paper_regret_std,paper_time_mean,paper_time_std,computed_regret_mean,computed_regret_std,computed_time_mean,computed_time_std,score,status,fallback_used,runs,T,alpha,param,shape,path
1,1,table1,MovieLens,PRB,alpha0.85,powT50,2054,56.9,7636,103.4,2054.6000,56.9389,7636.7897,103.4829,0.7262,confirmed,False,10,10000,0.85,powT50,10x10000x5,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601290025
1,2,table1,MovieLens,PRB,alpha0.85,powT50,2054,56.9,7636,103.4,2054.6000,56.9389,4323.5474,26.2046,339.6037,candidate,False,10,10000,0.85,powT50,10x10000x5,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_h100_ks40_202603250055
1,3,table1,MovieLens,PRB,alpha0.85,powT50,2054,56.9,7636,103.4,2074.0000,56.1035,3013.0353,204.1713,493.1701,candidate,False,10,10000,0.85,powT50,10x10000x5,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601272000
1,4,table1,MovieLens,PRB,alpha0.85,powT50,2054,56.9,7636,103.4,2054.6000,56.9389,2104.5513,98.6999,554.2538,candidate,False,10,10000,0.85,powT50,10x10000x5,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_k10_lr10.0073_lr20.0004_h100_ks40_202603280034
1,5,table1,MovieLens,PRB,alpha0.85,powT50,2054,56.9,7636,103.4,2074.0000,56.1035,2217.4338,131.2124,565.4344,candidate,False,10,10000,0.85,powT50,10x10000x5,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601280037
2,1,table1,MovieLens,FastPRB,alpha0.85,eps8.33e-05,2054,56.9,4247,73.9,2054.6000,56.9389,4247.0387,73.9049,0.6433,confirmed,False,10,10000,0.85,eps8.33e-05,10x10000x5,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601291141
2,2,table1,MovieLens,FastPRB,alpha0.85,eps8.33e-05,2054,56.9,4247,73.9,2054.6000,56.9389,4281.3962,20.6452,9.4040,candidate,False,10,10000,0.85,eps8.33e-05,10x10000x5,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h100_ks40_202603250052
2,3,table1,MovieLens,FastPRB,alpha0.85,eps8.33e-05,2054,56.9,4247,73.9,2054.6000,56.9389,4069.3209,56.9235,20.1045,candidate,False,10,10000,0.85,eps8.33e-05,10x10000x5,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h100_ks40_202603261532
2,4,table1,MovieLens,FastPRB,alpha0.85,eps8.33e-05,2054,56.9,4247,73.9,2063.3000,59.3010,4129.7264,14.9514,29.3232,candidate,False,10,10000,0.85,eps8.33e-05,10x10000x5,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h128_ks50_202603220014
2,5,table1,MovieLens,FastPRB,alpha0.85,eps8.33e-05,2054,56.9,4247,73.9,2059.8000,45.3934,4123.6934,83.1539,30.5627,candidate,False,10,10000,0.85,eps8.33e-05,10x10000x5,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_initH2_initK5_lr10.0073_lr20.0004_h100_ks40_202605071349
3,1,table1,Collab,PRB,alpha0.85,powT50,2199,114.5,29952,483.3,2199.1000,114.5028,29952.9285,483.3757,0.2032,confirmed,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601290026
3,2,table1,Collab,PRB,alpha0.85,powT50,2199,114.5,29952,483.3,2199.1000,114.5028,7193.3446,41.7085,2320.1275,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_h100_ks40_202603250055
3,3,table1,Collab,PRB,alpha0.85,powT50,2199,114.5,29952,483.3,2314.2000,79.9472,7396.5451,767.8063,2433.7489,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601240132
3,4,table1,Collab,PRB,alpha0.85,powT50,2199,114.5,29952,483.3,2314.2000,79.9472,7199.6952,2410.8838,2617.7416,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601250106
3,5,table1,Collab,PRB,alpha0.85,powT50,2199,114.5,29952,483.3,2314.2000,79.9472,4663.9240,116.1910,2715.2713,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601242114
4,1,table1,Collab,FastPRB,alpha0.85,eps4.24e-06,2194,129.5,1676,115.5,2194.7000,129.4975,1676.9624,115.5754,0.8063,confirmed,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_202601291248
4,2,table1,Collab,FastPRB,alpha0.85,eps4.24e-06,2194,129.5,1676,115.5,2194.7000,129.4975,1639.4553,12.3065,14.6763,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_h100_ks40_202603262013
4,3,table1,Collab,FastPRB,alpha0.85,eps4.24e-06,2194,129.5,1676,115.5,2194.7000,129.4975,2131.2613,22.5651,55.5221,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_h100_ks40_202603250052
4,4,table1,Collab,FastPRB,alpha0.85,eps4.24e-06,2194,129.5,1676,115.5,2194.7000,129.4975,1107.8466,19.8197,67.0858,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_k10_lr10.01_lr20.004_h100_ks40_202603310116
4,5,table1,Collab,FastPRB,alpha0.85,eps4.24e-06,2194,129.5,1676,115.5,2194.7000,129.4975,861.2910,41.7763,89.5457,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_k10_lr10.01_lr20.004_h100_ks40_202603270208
5,1,table1,PPA,PRB,alpha0.85,powT50,3276,137.3,56877,6710.3,3276.1000,137.3029,56877.5272,6710.3827,0.1639,confirmed,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/PPA_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601250106
5,2,table1,PPA,PRB,alpha0.85,powT50,3276,137.3,56877,6710.3,3575.4000,206.2378,56320.7337,931.1224,1001.8822,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/PPA_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601262150
5,3,table1,PPA,PRB,alpha0.85,powT50,3276,137.3,56877,6710.3,4491.0000,26.1661,50864.4662,1950.5274,2403.3645,candidate,False,3,5000,0.85,powT50,3x5000x5,results/online_link_prediction/PPA_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601211613
6,1,table1,PPA,FastPRB,alpha0.85,eps1.74e-06,3264,155.5,3869,374.3,3264.7000,155.5114,3869.1821,374.3318,0.7328,confirmed,False,10,5000,0.85,eps1.74e-06,10x5000x5,results/online_link_prediction/PPA_FastPRB_alpha0.85_eps1.74e-06_T5000_lr10.01_lr20.004_202601251347
6,2,table1,PPA,FastPRB,alpha0.85,eps1.74e-06,3264,155.5,3869,374.3,3566.8000,205.9538,4840.0850,455.7129,458.5036,candidate,False,10,5000,0.85,eps1.74e-06,10x5000x5,results/online_link_prediction/PPA_FastPRB_alpha0.85_eps1.74e-06_T5000_lr10.01_lr20.004_202601262150
6,3,table1,PPA,FastPRB,alpha0.85,eps1.74e-06,3264,155.5,3869,374.3,3099.3000,491.8471,3810.6737,996.8666,569.1364,candidate,False,10,5000,0.85,eps1.74e-06,10x5000x5,results/online_link_prediction/PPA_FastPRB_alpha0.85_eps1.74e-06_T5000_k10_lr10.01_lr20.004_h100_ks40_202603281204
6,4,table1,PPA,FastPRB,alpha0.85,eps1.74e-06,3264,155.5,3869,374.3,3750.5000,136.4480,2542.8222,330.8151,642.5183,candidate,False,10,5000,0.85,eps1.74e-06,10x5000x5,results/online_link_prediction/PPA_FastPRB_alpha0.85_eps1.74e-06_T5000_lr10.01_lr20.004_202601260241
6,5,table1,PPA,FastPRB,alpha0.85,eps1.74e-06,3264,155.5,3869,374.3,3099.3000,491.8471,6834.1978,1362.0349,896.3404,candidate,False,10,5000,0.85,eps1.74e-06,10x5000x5,results/online_link_prediction/PPA_FastPRB_alpha0.85_eps1.74e-06_T5000_lr10.01_lr20.004_202601291141
7,1,table1,Vessel,PRB,alpha0.85,powT50,4455,28.5,15111,714.2,4455.5000,28.5701,15111.7915,714.2949,0.6587,confirmed,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Vessel_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601271451
7,2,table1,Vessel,PRB,alpha0.85,powT50,4455,28.5,15111,714.2,4403.8000,37.5734,17790.7834,354.1146,364.2603,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Vessel_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601272000
7,3,table1,Vessel,PRB,alpha0.85,powT50,4455,28.5,15111,714.2,991.5000,146.2048,25251.4196,919.5195,4615.7787,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Vessel_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601270100
7,4,table1,Vessel,PRB,alpha0.85,powT50,4455,28.5,15111,714.2,991.5000,146.2048,25225.7648,1308.3323,4652.0945,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Vessel_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601262346
7,5,table1,Vessel,PRB,alpha0.85,powT50,4455,28.5,15111,714.2,370.9000,29.1391,20354.6620,4841.0194,5021.7873,candidate,False,10,5000,0.85,powT50,10x5000x5,results/online_link_prediction/Vessel_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601250107
8,1,table1,Vessel,FastPRB,alpha0.85,eps2.86e-07,4404,37.4,1276,87.4,4404.2000,37.4134,1276.0278,87.4851,0.2246,confirmed,False,10,5000,0.85,eps2.86e-07,10x5000x5,results/online_link_prediction/Vessel_FastPRB_alpha0.85_eps2.86e-07_T5000_lr10.01_lr20.004_202601272000
8,2,table1,Vessel,FastPRB,alpha0.85,eps2.86e-07,4404,37.4,1276,87.4,4351.6000,34.2613,1305.2308,39.9194,63.2098,candidate,False,10,5000,0.85,eps2.86e-07,10x5000x5,results/online_link_prediction/Vessel_FastPRB_alpha0.85_eps2.86e-07_T5000_lr10.01_lr20.004_202601261824
8,3,table1,Vessel,FastPRB,alpha0.85,eps2.86e-07,4404,37.4,1276,87.4,4453.1000,29.1632,1714.5755,74.5770,102.4767,candidate,False,10,5000,0.85,eps2.86e-07,10x5000x5,results/online_link_prediction/Vessel_FastPRB_alpha0.85_eps2.86e-07_T5000_lr10.01_lr20.004_202601271451
8,4,table1,Vessel,FastPRB,alpha0.85,eps2.86e-07,4404,37.4,1276,87.4,4406.7000,18.8947,3714.0606,1046.5612,360.9275,candidate,False,10,5000,0.85,eps2.86e-07,10x5000x5,results/online_link_prediction/Vessel_FastPRB_alpha0.85_eps2.86e-07_T5000_lr10.01_lr20.004_202601290028
