table,dataset,method,paper_regret,paper_time,computed_regret,computed_time,runs,T,score,match_status,path
table1,MovieLens,PRB,2054±56.9,7636±103.4,2054.6±56.9,7636.8±103.5,10,10000,0.73,confirmed,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601290025
table1,MovieLens,FastPRB,2054±56.9,4247±73.9,2054.6±56.9,4247.0±73.9,10,10000,0.64,confirmed,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601291141
table1,Collab,PRB,2199±114.5,29952±483.3,2199.1±114.5,29952.9±483.4,10,5000,0.20,confirmed,results/online_link_prediction/Collab_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601290026
table1,Collab,FastPRB,2194±129.5,1676±115.5,2194.7±129.5,1677.0±115.6,10,5000,0.81,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_202601291248
table1,PPA,PRB,3276±137.3,56877±6710.3,3276.1±137.3,56877.5±6710.4,10,5000,0.16,confirmed,results/online_link_prediction/PPA_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601250106
table1,PPA,FastPRB,3264±155.5,3869±374.3,3264.7±155.5,3869.2±374.3,10,5000,0.73,confirmed,results/online_link_prediction/PPA_FastPRB_alpha0.85_eps1.74e-06_T5000_lr10.01_lr20.004_202601251347
table1,Vessel,PRB,4455±28.5,15111±714.2,4455.5±28.6,15111.8±714.3,10,5000,0.66,confirmed,results/online_link_prediction/Vessel_PRB_alpha0.85_powT50_T5000_lr10.01_lr20.004_202601271451
table1,Vessel,FastPRB,4404±37.4,1276±87.4,4404.2±37.4,1276.0±87.5,10,5000,0.22,confirmed,results/online_link_prediction/Vessel_FastPRB_alpha0.85_eps2.86e-07_T5000_lr10.01_lr20.004_202601272000
table3_eps,Collab,FastPRB,4568±34.9,2781±11.9,4568.2±34.9,2781.1±11.9,10,5000,0.22,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_lr10.01_lr20.004_202601291249
table3_eps,Collab,FastPRB,2504±152.8,2956±15.3,2504.8±152.9,2956.6±15.4,10,5000,0.95,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_lr10.01_lr20.004_202601291249
table3_eps,Collab,FastPRB,2271±83.2,2961±22.9,2271.6±83.3,2961.5±22.9,10,5000,0.73,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_202601291248
table3_eps,Collab,FastPRB,2195±105.3,2983±22.5,2195.8±105.3,2983.2±22.5,10,5000,0.84,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_lr10.01_lr20.004_202601291248
table3_eps,Collab,FastPRB,2195±129.5,1676±115.5,2194.7±129.5,1677.0±115.6,10,5000,0.41,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_202601291248
table3_eps,Collab,FastPRB,2195±109.4,2832±183.7,2195.9±109.4,2832.9±183.7,10,5000,1.00,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-07_T5000_lr10.01_lr20.004_202601291248
table4_alpha,Collab,PRB,1826±95.5,30731±221.5,1826.9±95.5,30731.8±221.5,10,5000,1.00,confirmed,results/online_link_prediction/Collab_PRB_alpha0.6_powT50_T5000_lr10.01_lr20.004_202601290033
table4_alpha,Collab,FastPRB,1815±89.2,1145±19.9,1815.3±89.3,1145.0±20.0,10,5000,0.39,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.6_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
table4_alpha,Collab,PRB,1917±99.0,30751±171.9,1917.6±99.0,30751.9±171.9,10,5000,0.74,confirmed,results/online_link_prediction/Collab_PRB_alpha0.7_powT50_T5000_lr10.01_lr20.004_202601290033
table4_alpha,Collab,FastPRB,1920±97.3,1161±18.2,1920.2±97.3,1161.7±18.3,10,5000,0.31,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.7_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
table4_alpha,Collab,PRB,2068±144.0,30739±222.7,2068.8±144.0,30739.1±222.7,10,5000,0.86,confirmed,results/online_link_prediction/Collab_PRB_alpha0.8_powT50_T5000_lr10.01_lr20.004_202601290033
table4_alpha,Collab,FastPRB,2067±148.7,1580±7.63,2067.9±148.8,1580.1±7.6,10,5000,0.98,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.8_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
table4_alpha,Collab,PRB,2375±119.7,30278±167.7,2375.7±119.7,30278.2±167.8,10,5000,0.77,confirmed,results/online_link_prediction/Collab_PRB_alpha0.9_powT50_T5000_lr10.01_lr20.004_202601290042
table4_alpha,Collab,FastPRB,2355±105.6,1620±12.8,2355.5±105.7,1620.7±12.8,10,5000,0.64,confirmed,results/online_link_prediction/Collab_FastPRB_alpha0.9_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
